example_id	word_id	english	turkish	explain	example_en	example_tr	mp3_url	sound
17473	""	""	""	""	I want you to go.	Ben gitmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/17473.mp3	[sound:17473.mp3]
2011372	""	""	""	""	I want you to die.	Ben ölmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011372.mp3	[sound:2011372.mp3]
2549147	""	""	""	""	I want you to win.	Senin kazanmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2549147.mp3	[sound:2549147.mp3]
2011431	""	""	""	""	I want you to come.	Gelmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011431.mp3	[sound:2011431.mp3]
2011432	""	""	""	""	I want you to help.	Yardım etmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011432.mp3	[sound:2011432.mp3]
2548849	""	""	""	""	I want you to lose.	Senin kaybetmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2548849.mp3	[sound:2548849.mp3]
1062745	""	""	""	""	I want you to sing.	Şarkı söylemeni istiyorum.	https://audio.tatoeba.org/sentences/eng/1062745.mp3	[sound:1062745.mp3]
2011433	""	""	""	""	I want you to stay.	Kalmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011433.mp3	[sound:2011433.mp3]
2033078	""	""	""	""	I want you to stop.	Durmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2033078.mp3	[sound:2033078.mp3]
2011434	""	""	""	""	I want you to talk.	Konuşmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/2011434.mp3	[sound:2011434.mp3]
4153140	""	""	""	""	I want you to dance.	Dansetmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/4153140.mp3	[sound:4153140.mp3]
3820734	""	""	""	""	I want you to do so.	Öyle yapmanı istiyorum.	https://audio.tatoeba.org/sentences/eng/3820734.mp3	[sound:3820734.mp3]
2011503	""	""	""	""	I want you to guess.	Tahmin etmeni istiyorum.	https://audio.tatoeba.org/sentences/eng/2011503.mp3	[sound:2011503.mp3]
2011504	""	""	""	""	I want you to leave.	Gitmenizi istiyorum.	https://audio.tatoeba.org/sentences/eng/2011504.mp3	[sound:2011504.mp3]
